targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
2,0,39,1,0.00903,0.000129401
2,0,39,1,0.0078275,8.38683e-05
2,0,39,1,0.008425,0.000107879
0,0,39,0,0.010425,0.000199117
2,0,39,1,0.0082675,9.31592e-05
0,0,39,0,0.0072275,6.68573e-05
3,0,39,1,0.01104,0.000233298
1,0,39,0,0.01238,0.000236736
2,0,39,1,0.01164,0.000212681
0,0,39,0,0.01546,0.000364078
1,0,39,0,0.0173775,0.000411563
1,0,39,0,0.009785,0.000137486
2,0,39,1,0.0135125,0.000275858
0,0,39,0,0.014175,0.000337835
1,0,39,0,0.016055,0.000360306
1,0,39,0,0.0115275,0.000182892
2,0,39,1,0.00861,9.25485e-05
1,0,39,0,0.0107825,0.000246735
2,0,39,1,0.0075825,6.81982e-05
0,0,39,0,0.007745,7.6501e-05
2,0,39,1,0.00807,8.4215e-05
1,0,39,0,0.0071625,5.33557e-05
1,0,39,0,0.0091425,0.000123114
2,0,39,1,0.00832,9.0997e-05
1,0,39,0,0.00882,0.000105536
2,0,39,1,0.0088925,0.000117892
0,0,39,0,0.0072275,5.32032e-05
1,0,39,0,0.0087975,0.000104572
1,0,39,0,0.00728,5.48355e-05
0,0,39,0,0.007485,5.9849e-05
0,0,39,0,0.007715,7.62245e-05
1,0,39,0,0.0108825,0.000189041
3,0,39,1,0.01192,0.000222035
2,0,39,1,0.00726,6.59225e-05
0,0,39,0,0.0113175,0.000198041
0,0,39,0,0.008705,0.000101549
0,0,39,0,0.01216,0.000224221
1,0,39,0,0.0107825,0.000179026
1,0,39,0,0.007685,6.14035e-05
0,0,39,0,0.0078,7.4041e-05
0,1,17,0,0.00715,5.21017e-05
0,0,39,0,0.0085125,9.87127e-05
1,0,39,0,0.0077075,6.23483e-05
0,0,39,0,0.008355,8.41095e-05
1,0,39,0,0.0075225,5.95667e-05
2,0,39,1,0.0090825,0.000147366
0,0,39,0,0.285673,3.06865
1,0,39,0,0.0097675,0.000143672
2,0,39,1,0.0073725,6.98608e-05
1,0,39,0,0.008175,9.61195e-05
1,0,39,0,0.0075675,7.11758e-05
1,0,39,0,0.0086025,0.000108433
1,0,39,0,0.0077775,7.45103e-05
4,0,39,1,0.007705,7.4866e-05
2,0,39,1,0.009015,0.000120374
0,0,39,0,0.00816,8.92145e-05
0,0,39,0,0.009855,0.000140277
3,0,39,1,0.0089625,0.000106799
0,0,39,0,0.0136125,0.000364012
0,0,39,0,0.0098025,0.000135732
0,0,39,0,0.00936,0.000125993
2,0,39,1,0.0079375,8.17817e-05
1,0,39,0,0.0070225,5.08828e-05
0,0,39,0,0.0087675,0.000103839
1,0,39,0,0.0084475,7.86382e-05
1,0,39,0,0.009295,0.000129003
0,0,39,0,0.0092325,0.000122302
1,0,39,0,0.0073275,5.54008e-05
1,0,39,0,0.0084575,9.96753e-05
1,0,39,0,0.0084825,9.97053e-05
1,1,15,0,0.0074625,5.79688e-05
2,0,39,1,0.0084925,9.81557e-05
1,0,39,0,0.008335,9.7518e-05
1,0,39,0,0.010645,0.000181855
1,0,39,0,0.0084525,9.85718e-05
2,0,39,1,0.007845,7.8231e-05
0,0,39,0,0.007705,7.46105e-05
0,0,39,0,0.0085625,0.000113851
1,0,39,0,0.0074875,6.91297e-05
2,0,39,1,0.007015,5.1395e-05
1,0,39,0,0.00856,0.000100173
2,0,39,1,0.0081575,8.96328e-05
2,0,39,1,0.0076575,6.77317e-05
0,0,39,0,0.0079275,7.79207e-05
1,0,39,0,0.00768,7.4596e-05
0,0,39,0,0.00718,5.31865e-05
1,0,39,0,0.008465,8.6974e-05
0,0,39,0,0.01156,0.000377761
0,0,39,0,0.0140575,0.000287769
1,0,39,0,0.0119975,0.000228621
1,0,39,0,0.014895,0.000340397
1,0,39,0,0.016825,0.000429218
2,0,39,1,0.015305,0.000351491
0,0,39,0,0.0185025,0.000466736
1,0,39,0,0.010145,0.000163584
1,0,39,0,0.01614,0.000381307
1,0,39,0,0.0169675,0.000403798
0,0,39,0,0.0118975,0.00031585
2,0,39,1,0.0111775,0.000200352
0,0,39,0,0.01248,0.000244711
2,0,39,1,0.0120025,0.000222634
0,0,39,0,0.008545,0.000112913
0,0,39,0,0.0113275,0.00020373
1,0,39,0,0.009315,0.000137287
0,0,39,0,0.0081075,8.08522e-05
0,0,39,0,0.00876,0.000103864
0,0,39,0,0.0092625,0.000120293
1,0,39,0,0.008555,0.000103145
0,0,39,0,0.0075825,6.88082e-05
0,0,39,0,0.0082725,9.60833e-05
1,0,39,0,0.008605,9.66585e-05
1,0,39,0,0.0081925,9.33417e-05
0,0,39,0,0.008445,9.8352e-05
3,0,39,1,0.008525,0.000103503
2,0,39,1,0.0079825,9.10932e-05
0,0,39,0,0.00838,9.6358e-05
2,0,39,1,0.0080375,9.04008e-05
2,0,39,1,0.0095,0.000143193
1,0,39,0,0.0078075,7.63652e-05
0,0,39,0,0.007665,7.2667e-05
0,0,39,0,0.0088975,0.000116384
1,0,39,0,0.007235,5.56955e-05
1,0,39,0,0.0077875,7.61693e-05
2,0,39,1,0.008455,9.6158e-05
0,0,39,0,0.0232325,0.00124133
0,0,39,0,0.04648,0.0124543
0,0,39,0,0.0266125,0.00179607
1,0,39,0,0.0273375,0.0022014
1,0,39,0,0.011245,0.000407819
